中国,#genre#
BolaArena 1,http://smt.iktv.ddns-ip.net/Smart.php?id=Bolaarena1
BolaArena 2,http://smt.iktv.ddns-ip.net/Smart.php?id=Bolaarena2
LOL,http://smt.iktv.ddns-ip.net/Smart.php?id=Astro_lol
Rusi,http://smt.iktv.ddns-ip.net/Smart.php?id=Rusi
WION,http://smt.iktv.ddns-ip.net/Smart.php?id=Wion
RTM Asean,http://smt.iktv.ddns-ip.net/Smart.php?id=Rtmasean

印度尼西亚,#genre#
TVRI National,http://smt.iktv.ddns-ip.net/Smart.php?id=TVRI
RCTI,http://smt.iktv.ddns-ip.net/Smart.php?id=Rcti
Kompass TV,http://smt.iktv.ddns-ip.net/Smart.php?id=Kompass
Berita Satu,http://smt.iktv.ddns-ip.net/Smart.php?id=BeritaSatu_eko
Indosiar HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Indosiar
AnTV,http://smt.iktv.ddns-ip.net/Smart.php?id=Antv
MNC TV,http://smt.iktv.ddns-ip.net/Smart.php?id=Mnctv
Trans 7,http://smt.iktv.ddns-ip.net/Smart.php?id=Trans7_eko
Transtv,http://smt.iktv.ddns-ip.net/Smart.php?id=Transtv
JTV,http://smt.iktv.ddns-ip.net/Smart.php?id=JTV_eko
Metro TV,http://smt.iktv.ddns-ip.net/Smart.php?id=metrotv_eko
Cinemax,http://smt.iktv.ddns-ip.net/Smart.php?id=Cinemax
SCTV,http://smt.iktv.ddns-ip.net/Smart.php?id=SCTV
Tvone,http://smt.iktv.ddns-ip.net/Smart.php?id=Tvone
TVMU,http://smt.iktv.ddns-ip.net/Smart.php?id=TVMU_eko
GTV,http://smt.iktv.ddns-ip.net/Smart.php?id=Gtv
RTV,http://smt.iktv.ddns-ip.net/Smart.php?id=Rtv
Jak TV,http://smt.iktv.ddns-ip.net/Smart.php?id=JakTV
iNews TV,http://smt.iktv.ddns-ip.net/Smart.php?id=Inewstv
Daai TV,http://smt.iktv.ddns-ip.net/Smart.php?id=DaaiTV
Net TV,http://smt.iktv.ddns-ip.net/Smart.php?id=NetTV
Animax,http://smt.iktv.ddns-ip.net/Smart.php?id=Animax
EWTN,http://smt.iktv.ddns-ip.net/Smart.php?id=Ewtn
AlQuran AlKareem,http://smt.iktv.ddns-ip.net/Smart.php?id=AlQuran
Tawaf TV,http://smt.iktv.ddns-ip.net/Smart.php?id=TawafTV
Vision Prime,http://smt.iktv.ddns-ip.net/Smart.php?id=VisionPrime
Muslim TV,http://smt.iktv.ddns-ip.net/Smart.php?id=MuslimTV
Music TV,http://smt.iktv.ddns-ip.net/Smart.php?id=MusicTV
Lifestyle&amp;Fashion,http://smt.iktv.ddns-ip.net/Smart.php?id=Lifestyle
Entertain,http://smt.iktv.ddns-ip.net/Smart.php?id=Entertain
Hits,http://smt.iktv.ddns-ip.net/Smart.php?id=Hits
Warner TV,http://smt.iktv.ddns-ip.net/Smart.php?id=WarnerTV
SCM,http://smt.iktv.ddns-ip.net/Smart.php?id=Weishimovie
Thrill,http://smt.iktv.ddns-ip.net/Smart.php?id=Thrill
Fight Sports,http://smt.iktv.ddns-ip.net/Smart.php?id=Fs
Hits Movie,http://smt.iktv.ddns-ip.net/Smart.php?id=Hitsmovie
One,http://smt.iktv.ddns-ip.net/Smart.php?id=One
tvN Movie,http://smt.iktv.ddns-ip.net/Smart.php?id=Tvnmovie
Celestial Movies HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Celestialindo
Rock Actions,http://smt.iktv.ddns-ip.net/Smart.php?id=Rockaction
Rock Entertainment,http://smt.iktv.ddns-ip.net/Smart.php?id=Rockentertain

印度,#genre#
Sun TV HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Suntv
Star Vijay,http://smt.iktv.ddns-ip.net/Smart.php?id=Starvijay
Colors Tamil,http://smt.iktv.ddns-ip.net/Smart.php?id=Colorstam
Sun Music,http://smt.iktv.ddns-ip.net/Smart.php?id=Sunmusic
Sunlife,http://smt.iktv.ddns-ip.net/Smart.php?id=Sunlife
Vaanavil,http://smt.iktv.ddns-ip.net/Smart.php?id=Vaanavil
Zee Tamil,http://smt.iktv.ddns-ip.net/Smart.php?id=Zeetamil
Zee Business,http://smt.iktv.ddns-ip.net/Smart.php?id=Zeebusiness
News 18 Tamil,http://smt.iktv.ddns-ip.net/Smart.php?id=news18tamil_raj
Adithya,http://smt.iktv.ddns-ip.net/Smart.php?id=Adithya
Makkal TV,http://smt.iktv.ddns-ip.net/Smart.php?id=Makkaltv
Zee Action,http://smt.iktv.ddns-ip.net/Smart.php?id=Zeeaction
KTV,http://smt.iktv.ddns-ip.net/Smart.php?id=Astroktv
Zee TV HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Zeetvhd
Zee Cinema HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Zeecinemahd
Color HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Colorhd
Starplus HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Starplushd
Picture HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Npicture
Zee News,http://smt.iktv.ddns-ip.net/Smart.php?id=Zeenews
Asianet,http://smt.iktv.ddns-ip.net/Smart.php?id=asianet_raj
Asianet News,http://smt.iktv.ddns-ip.net/Smart.php?id=asianetnews_raj
Discovery World Tamil,http://smt.iktv.ddns-ip.net/Smart.php?id=discoveryworldtam_raj
History Tamil,http://smt.iktv.ddns-ip.net/Smart.php?id=historytam_raj
NatGeo Tamil,http://smt.iktv.ddns-ip.net/Smart.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://smt.iktv.ddns-ip.net/Smart.php?id=natgeowildtamil_raj
Sonypix,http://smt.iktv.ddns-ip.net/Smart.php?id=Asonypix
Discovery Kids Tamil,http://smt.iktv.ddns-ip.net/Smart.php?id=discoverykidtamil_raj
Discovery Tamil,http://smt.iktv.ddns-ip.net/Smart.php?id=discoverytamil_raj
Sony Yay Tamil,http://smt.iktv.ddns-ip.net/Smart.php?id=sonyyaytam_raj
Sun TV India,http://smt.iktv.ddns-ip.net/Smart.php?id=suntv_raj
Starmaa HD,http://smt.iktv.ddns-ip.net/Smart.php?id=starmaa_raj
Starmaa Movies HD,http://smt.iktv.ddns-ip.net/Smart.php?id=starmaamovies_raj
Bollyone,http://smt.iktv.ddns-ip.net/Smart.php?id=Bollyone
Sunmusic,http://smt.iktv.ddns-ip.net/Smart.php?id=Sunmusic
Vijay Super,http://smt.iktv.ddns-ip.net/Smart.php?id=vijaysuper_raj
Vellithirai,http://smt.iktv.ddns-ip.net/Smart.php?id=Vellithirai

泰国,#genre#
Channel 3 Thailand,http://smt.iktv.ddns-ip.net/Smart.php?id=ch3_pat
Channel 5 Thailand,http://smt.iktv.ddns-ip.net/Smart.php?id=ch5_pat
Channel 7 Thailand,http://smt.iktv.ddns-ip.net/Smart.php?id=ch7_pat
MCOT HD Thailand-1,http://smt.iktv.ddns-ip.net/Smart.php?id=mcot_pat
PPTV Thailand1,http://smt.iktv.ddns-ip.net/Smart.php?id=pptv_pat
Thai Thai,http://smt.iktv.ddns-ip.net/Smart.php?id=thaithai_pat
Amarin,http://smt.iktv.ddns-ip.net/Smart.php?id=amarin_pat
Ch 8,http://smt.iktv.ddns-ip.net/Smart.php?id=ch8_pat
GmmOne,http://smt.iktv.ddns-ip.net/Smart.php?id=gmmone_pat
Mono,http://smt.iktv.ddns-ip.net/Smart.php?id=mono_pat
Thairath,http://smt.iktv.ddns-ip.net/Smart.php?id=thairath_pat
tpbs,http://smt.iktv.ddns-ip.net/Smart.php?id=tpbs_pat
Workpoint,http://smt.iktv.ddns-ip.net/Smart.php?id=workpoint_pat
Gmm Channel,http://smt.iktv.ddns-ip.net/Smart.php?id=gmmchannel_pat
Nation,http://smt.iktv.ddns-ip.net/Smart.php?id=nation_pat
Tnn24,http://smt.iktv.ddns-ip.net/Smart.php?id=tnn24_pat
Nbt,http://smt.iktv.ddns-ip.net/Smart.php?id=nbt_pat
New,http://smt.iktv.ddns-ip.net/Smart.php?id=new_pat
TPTV,http://smt.iktv.ddns-ip.net/Smart.php?id=tptv_pat

电影频道,#genre#
CCTV-6,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv6
AXN Taiwan,http://smt.iktv.ddns-ip.net/Smart.php?id=axn_twn
HBO_HD,http://smt.iktv.ddns-ip.net/Smart.php?id=hbohd_twn
HBO_HITS,http://smt.iktv.ddns-ip.net/Smart.php?id=hbohit_twn
CINEMAX,http://smt.iktv.ddns-ip.net/Smart.php?id=cinemax_twn
好萊塢電影台,http://smt.iktv.ddns-ip.net/Smart.php?id=hollywoodmovies_twn
东森电影,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvmovie
东森洋片,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvwestern
龙华电影,http://smt.iktv.ddns-ip.net/Smart.php?id=xingwei_movie
龙华洋片,http://smt.iktv.ddns-ip.net/Smart.php?id=lunghuawestern_twn
龙祥时代,http://smt.iktv.ddns-ip.net/Smart.php?id=lungxiangtime_twn
美亚电影,http://smt.iktv.ddns-ip.net/Smart.php?id=meiyamovie_twn
卫视电影台,http://smt.iktv.ddns-ip.net/Smart.php?id=weishimovie_twn
天映频道,http://smt.iktv.ddns-ip.net/Smart.php?id=Celestial
天映频道,http://smt.iktv.ddns-ip.net/Smart.php?id=Celestialindo
天映经典,http://smt.iktv.ddns-ip.net/Smart.php?id=Celestial2
Animax,http://smt.iktv.ddns-ip.net/Smart.php?id=Animax
Movies Now HD,http://smt.iktv.ddns-ip.net/Smart.php?id=moviesnow_raj
Star Movies HD,http://smt.iktv.ddns-ip.net/Smart.php?id=starmovies_raj
Hits,http://smt.iktv.ddns-ip.net/Smart.php?id=Hits
Warner TV,http://smt.iktv.ddns-ip.net/Smart.php?id=WarnerTV
HBO HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Hbo
HBO Signature,http://smt.iktv.ddns-ip.net/Smart.php?id=Hbosignature
HBO Family,http://smt.iktv.ddns-ip.net/Smart.php?id=Hbofamily
